city,face.present.rate.alt,face.present.rate.alt.tree,solo.face.rate.alt,solo.face.rate.alt.tree,social.face.rate.alt,social.face.rate.alt.tree
Albuquerque,3.17000496599421,3.16742452781132,3.16892034645969,3.16547306902888,3.15156833546062,3.01579444059983
Anaheim,3.16955067998649,3.16162427456432,3.1724861590737,3.16167718349612,3.1453318199996,3.08703939643483
Arlington,3.1624548611733,3.14604470323882,3.16178584118379,3.14185386364308,3.15119172899597,3.01123931181277
Atlanta,3.16406547191403,3.1573183186599,3.16383517931501,3.15370922680232,3.15398130352614,3.11072685677636
Aurora,3.17443406195271,3.13458627048003,3.17304758108004,3.13358929840023,3.12749410454888,3.00763985926051
Austin,3.17165215949275,3.16348372826254,3.17067345669928,3.16318926515797,3.1691754846891,3.14173577458331
Bakersfield,3.17195714351892,3.15040212029138,3.17162161872848,3.14595833681036,3.15532309947123,2.98414796467469
Baltimore,3.16765601625814,3.14238992457755,3.16528613397605,3.14242722267199,3.15723726197469,3.03508180673199
Boston,3.1646828157179,3.16403887089127,3.16419636293588,3.16396664626782,3.1554346284949,3.11955789372282
Charlotte,3.17402900087359,3.1749764866356,3.17235946422703,3.17496620604986,3.17080739248213,3.13026149533691
Chicago,3.17010606951693,3.16940341084614,3.16959719890153,3.16916103762505,3.16441794477436,3.15504542561013
Cleveland,3.16552383308204,3.14743376700576,3.17061344169271,3.14776845084275,3.0936745596884,3.10523405152562
Colorado Springs,3.16091799920081,3.11994219091936,3.16089171844341,3.11914868719653,3.13983517801639,2.9523356103221
Columbus,3.17108677049855,3.16158512811067,3.16939722058488,3.16484757182464,3.15309403484377,2.96482503096661
Corpus Christi,3.17397836557199,3.15771053343552,3.17417992893207,3.15472628863533,3.13985234775947,3.07129576841
Dallas,3.17542248690627,3.16844226961165,3.17486023262882,3.16838856083169,3.17041132982152,3.1623897703464
Denver,3.16915050059673,3.16666275075207,3.16892832545407,3.16625692007144,3.16348844316542,3.10340973360619
Detroit,3.17214783528123,3.15590560410954,3.17034151339144,3.16069908472942,3.16143403263859,3.0162214439438
El Paso,3.17027847957914,3.16007253052425,3.1719834522356,3.15621249717886,3.12459381838991,3.05281738141761
Fort Worth,3.17389471281346,3.17284721577158,3.17326437610207,3.17272571020157,3.17059345890124,3.1624647036543
Fresno,3.17338053379307,3.15113020097383,3.17322309087932,3.14803679822587,3.16284890221219,3.02446997193703
Houston,3.17551619407577,3.17304455139726,3.17537625812182,3.17253110793062,3.17325979660396,3.16519943991125
Indianapolis,3.16920260033577,3.15438833013246,3.16827582982444,3.15546201278916,3.16011027825536,3.09533713331223
Jacksonville,3.17109526073072,3.1572079347598,3.17035172240728,3.15515308252953,3.16591433851388,3.10710434022237
Kansas City,3.17212839456119,3.16062015918041,3.17201098166008,3.16223927128745,3.1561960226056,3.11078857572336
Las Vegas,3.1738826038315,3.15760762142393,3.17341916013197,3.15673718670205,3.16689192415041,3.11206915840207
Lexington,3.17224943393271,3.14414437223892,3.17130986269157,3.1442688809862,3.16169633057747,3.03275331502673
Long Beach,3.17011985965758,3.16474316703736,3.17025244798469,3.16245171652481,3.16316066011597,3.07485496795907
Los Angeles,3.17247802723281,3.1716555160856,3.17285832860557,3.1719356745233,3.16919716776474,3.15767160147814
Louisville,3.17043486725407,3.15302407748812,3.16828213556044,3.14506986188921,3.16536765713915,3.07603277932797
Memphis,3.17193111169034,3.15555705030681,3.17221526271286,3.1543074255516,3.16465947740163,3.06876231645393
Mesa,3.17250209918809,3.1653534386224,3.17201730466436,3.16486701747641,3.15310436532685,3.10157159715078
Miami,3.17040903428488,3.16244938425278,3.1702307895103,3.15964620035956,3.16270519173457,3.12105253750169
Milwaukee,3.16983625695193,3.16572573855541,3.16879970993621,3.16754590486353,3.15650609494624,3.06352707904318
Minneapolis,3.16001856501222,3.14059933519283,3.16122108387173,3.13620677907555,3.13389357541627,3.10456452684197
Nashville,3.17093390259108,3.16566620809028,3.17197900624716,3.16513121278238,3.15561923564162,3.11374240618624
New Orleans,3.17129198249986,3.15311604082835,3.17098152186343,3.15511652203246,3.15774001314949,3.03270195142363
New York,3.1715655458262,3.17178824717605,3.17126138670251,3.17104590794226,3.17105028902607,3.15798293645925
Oakland,3.16428323334901,3.11767988170137,3.16117694274998,3.1202147703115,3.14554175998331,2.90514581115598
Oklahoma City,3.17278165844283,3.16863261728247,3.17119868345093,3.16792312955336,3.16438905188551,3.07363844731856
Omaha,3.1739420847987,3.15777450291502,3.17248261413093,3.15322708892956,3.17039815511198,3.05228675078967
Philadelphia,3.17299751662045,3.16832006881451,3.17223449903381,3.16844263747883,3.17392218395673,3.14038949045879
Phoenix,3.17139813844297,3.17152003425772,3.16967034567796,3.17131618694436,3.1678761529097,3.11608242122087
Portland,3.1644536276859,3.16066028708932,3.16154497490629,3.15811053147903,3.16218554496967,3.07839140509892
Raleigh,3.16839562269436,3.15658734069603,3.16774187193292,3.15722877521438,3.14756964459342,3.06121133915072
Riverside,3.17109442345129,3.14919301110665,3.16835956365849,3.15211287821513,3.14999582659722,2.90813887362455
Sacramento,3.17205599315467,3.15041215668038,3.17039929981002,3.14887042705114,3.16532074490401,3.05488198073311
San Antonio,3.17595668105189,3.17086468951956,3.17548932749226,3.1703271893396,3.16556103966655,3.14138821151079
San Diego,3.17018201214562,3.15612191526194,3.16797446804306,3.15187703328668,3.16571515473762,3.12691748487114
San Francisco,3.16126111071995,3.15775467365282,3.16401500792065,3.15812244988459,3.14063108631443,3.0780688413725
San Jose,3.16325130363681,3.11936853988262,3.16688772181699,3.12743228301199,3.1257938403522,3.00442167636975
Santa Ana,3.17287662901251,3.15484787935978,3.17025099115798,3.15643649538525,3.15397999500682,2.88675206731632
Seattle,3.16057380955678,3.13247597084126,3.16283512224691,3.12829933220495,3.12570021422511,3.08892219647772
St. Louis,3.16700459822307,3.1514226979987,3.16845330412023,3.15447376115059,3.14263858860578,3.02207600815754
Tampa,3.17070971351908,3.15851522722407,3.1710747002133,3.15666142492696,3.15976897331442,3.09982378020648
Tucson,3.16996492772116,3.16262582571423,3.16972381115067,3.15994296099011,3.15489027944682,2.92268151819037
Tulsa,3.17447195840959,3.16887892140839,3.17210242748624,3.17085433085819,3.16056412182339,3.06294958116497
Virginia Beach,3.16765575964373,3.15521606305173,3.16586421476506,3.15344250117243,3.13929970371095,3.07262758931348
Washington,3.16433562103576,3.15408595564104,3.16329194675183,3.15342459809193,3.16062843837445,3.11382756062959
Wichita,3.17612582365225,3.17113483398406,3.17560478176855,3.16749194322053,3.16590448888936,3.06794123841018
